Type,Value,Confidence,DateAdded,LastModified,Description,Source,Tags
Address,104.217.62.110,90,10-30-2020,10-30-2020,"IP hosts a most likely Ryuk domain on a dedicated server, as of October 30 2020.

",ThreatConnect Enrichment,Dedicated Server;Ryuk;Wizard Spider;UNC1878
Address,104.149.170.190,90,10-30-2020,10-30-2020,"IP hosts a most likely Ryuk domain on a dedicated server, as of October 30 2020.

",ThreatConnect Enrichment,Wizard Spider;Dedicated Server;UNC1878;Ryuk
Address,172.106.86.6,90,10-30-2020,10-30-2020,"IP hosts a most likely Ryuk domain on a dedicated server, as of October 30 2020.

",ThreatConnect Enrichment,Wizard Spider;UNC1878;Dedicated Server;Ryuk
Address,104.149.170.182,90,10-30-2020,10-30-2020,"IP hosts a most likely Ryuk domain on a dedicated server, as of October 30 2020.

",ThreatConnect Enrichment,Wizard Spider;UNC1878;Ryuk;Dedicated Server
Address,104.217.62.111,90,10-30-2020,10-30-2020,"IP hosts a most likely Ryuk domain on a dedicated server, as of October 30 2020.

",ThreatConnect Enrichment,Dedicated Server;Ryuk;Wizard Spider;UNC1878
Address,104.149.170.166,90,10-30-2020,10-30-2020,"IP hosts a most likely Ryuk domain on a dedicated server, as of October 30 2020.

",ThreatConnect Enrichment,UNC1878;Wizard Spider;Ryuk;Dedicated Server
Address,172.106.86.5,90,10-30-2020,10-30-2020,"IP hosts a most likely Ryuk domain on a dedicated server, as of October 30 2020.

",ThreatConnect Enrichment,Ryuk;Wizard Spider;Dedicated Server;UNC1878
Address,104.149.168.222,90,10-30-2020,10-30-2020,"IP hosts a most likely Ryuk domain on a dedicated server, as of October 30 2020.

",ThreatConnect Enrichment,Dedicated Server;Wizard Spider;UNC1878;Ryuk
Address,172.106.86.4,90,10-30-2020,10-30-2020,"IP hosts a most likely Ryuk domain on a dedicated server, as of October 30 2020.

",ThreatConnect Enrichment,Ryuk;UNC1878;Wizard Spider;Dedicated Server
Host,nasupdater.com,90,10-30-2020,10-30-2020,Most likely Ryuk domain registered on October 27 2020 through NameCheap and hosted on a dedicated server.,ThreatConnect Enrichment,UNC1878;Dedicated Server;Ryuk;Wizard Spider
Host,nashelper.com,90,10-30-2020,10-30-2020,Most likely Ryuk domain registered on October 27 2020 through NameCheap and hosted on a dedicated server.,ThreatConnect Enrichment,Wizard Spider;Ryuk;UNC1878;Dedicated Server
Host,nasbooster.com,90,10-30-2020,10-30-2020,Most likely Ryuk domain registered on October 27 2020 through NameCheap and hosted on a dedicated server.,ThreatConnect Enrichment,Ryuk;UNC1878;Wizard Spider;Dedicated Server
Host,ibackupview.com,90,10-30-2020,10-30-2020,Most likely Ryuk domain registered on October 27 2020 through NameCheap and hosted on a dedicated server.,ThreatConnect Enrichment,Dedicated Server;UNC1878;Ryuk;Wizard Spider
Host,ibackupupdate.com,90,10-30-2020,10-30-2020,Most likely Ryuk domain registered on October 27 2020 through NameCheap and hosted on a dedicated server.,ThreatConnect Enrichment,Dedicated Server;Ryuk;Wizard Spider;UNC1878
Host,ibackupboost.com,90,10-30-2020,10-30-2020,Most likely Ryuk domain registered on October 27 2020 through NameCheap and hosted on a dedicated server.,ThreatConnect Enrichment,Dedicated Server;Ryuk;Wizard Spider;UNC1878
Host,checksservice.com,90,10-30-2020,10-30-2020,Most likely Ryuk domain registered on October 27 2020 through NameCheap and hosted on a dedicated server.,ThreatConnect Enrichment,Ryuk;Wizard Spider;UNC1878;Dedicated Server
Host,iservicec.com,90,10-30-2020,10-30-2020,Most likely Ryuk domain registered on October 27 2020 through NameCheap and hosted on a dedicated server.,ThreatConnect Enrichment,Ryuk;Dedicated Server;Wizard Spider;UNC1878
Host,uncheckhel.com,90,10-30-2020,10-30-2020,Most likely Ryuk domain registered on October 27 2020 through NameCheap and hosted on a dedicated server.,ThreatConnect Enrichment,Wizard Spider;Ryuk;Dedicated Server;UNC1878
Address,104.149.168.213,90,10-29-2020,10-30-2020,"IP hosts most likely Ryuk domain backupslive.com on a dedicated server, as of October 29 2020.",ThreatConnect Enrichment,Ryuk;Dedicated Server;UNC1878;Wizard Spider
Host,backupslive.com,90,10-29-2020,10-30-2020,"Most likely Ryuk domain registered on October 27 2020 through NameCheap and hosted on a dedicated server at 104.149.168.213. Per Censys, domain uses an SSL certificate with similar subject string (""C=US, ST=TX, L=Texas, O=lol, OU=,"") compared to previous Ryuk infrastructure. ",ThreatConnect Enrichment,Ryuk;Dedicated Server;UNC1878;Wizard Spider
Address,209.141.34.91,50,10-29-2020,10-29-2020,IP hosts a possible Ryuk domain as of October 29 2020.,ThreatConnect Enrichment,Ryuk;UNC1878;Wizard Spider;Dedicated Server
Host,thecheckupdater.com,50,10-29-2020,10-29-2020,Possible Ryuk domain registered on October 26 2020 and hosted on a probable dedicated server.,ThreatConnect Enrichment,Ryuk;UNC1878;Wizard Spider;Dedicated Server
Host,supservupdate.com,50,10-29-2020,10-29-2020,Possible Ryuk domain registered on October 26 2020 and hosted on a probable dedicated server.,ThreatConnect Enrichment,Ryuk;UNC1878;Wizard Spider;Dedicated Server
Host,boost-helper.com,50,10-29-2020,10-29-2020,Possible Ryuk domain registered on October 26 2020 and hosted on a probable dedicated server.,ThreatConnect Enrichment,Ryuk;UNC1878;Wizard Spider;Dedicated Server
Address,205.185.127.215,50,10-29-2020,10-29-2020,IP hosts a possible Ryuk domain as of October 29 2020.,ThreatConnect Enrichment,Ryuk;UNC1878;Wizard Spider;Dedicated Server
